Date-Time,Latitude,Longitude,Magnitude,Epicenter
5/15/15 10:58:00 PM,27.74,86.17,4,Dolakha
5/16/15 2:15:00 AM,28.07,84.7,4,Gorkha
5/16/15 4:28:00 AM,27.65,86.12,4.1,Dolakha
5/16/15 4:38:00 AM,27.66,86.09,4.1,Dolakha
5/16/15 6:11:00 AM,27.97,85.48,4,Nuwakot
5/16/15 6:31:00 AM,28.13,84.89,4,Gorkha
5/16/15 9:24:00 AM,27.7,85.85,4.2,Sindhupalchowk
5/16/15 9:35:00 AM,27.45,85.31,4.2,Lalitpur
5/16/15 5:19:00 PM,27.6,86.26,5.5,Dolakha
5/16/15 8:44:00 PM,27.64,86.14,4.3,Dolakha
5/17/15 5:00:00 AM,27.73,86.06,4.4,Dolakha
5/17/15 11:30:00 AM,27.48,85.87,4.6,Ramechhap
5/17/15 8:40:00 PM,27.84,86.24,4.4,Dolakha
5/18/15 9:11:00 AM,27.71,86.07,4.2,Dolakha
5/18/15 11:24:00 AM,27.69,86.26,4,Dolakha
5/18/15 6:27:00 PM,28.11,84.88,4.1,Dhading
5/19/15 4:34:00 AM,27.66,86.03,4.3,Dolakha
5/19/15 11:29:00 AM,27.9,85.99,4,Sindhupalchowk
5/19/15 4:44:00 PM,27.92,86.04,4.2,Sindhupalchowk
5/20/15 11:10:00 AM,27.84,86.33,4.2,Dolakha
5/20/15 2:47:00 PM,27.52,85.26,4.4,Lalitput
5/21/15 2:11:00 PM,27.85,86.32,4.2,Dolakha
5/21/15 2:56:00 PM,27.93,85.46,4,Nuwakot
5/21/15 7:30:00 PM,28.02,84.98,4,Dhading
5/22/15 2:45:00 PM,27.79,85.14,4.2,Nuwakot
5/22/15 4:44:00 PM,28.05,85.08,4.8,Nuwakot
5/22/15 5:30:00 PM,27.63,86.25,4.1,Dolakha
5/22/15 6:49:00 PM,27.78,85.93,4,Sindhupalchowk
5/22/15 8:44:00 PM,27.69,86.16,4.1,Dolakha
5/23/15 1:14:00 PM,27.74,86.2,4.2,Dolakha
5/23/15 10:26:00 PM,27.9,85.51,4.4,Sindhupalchok
5/24/15 7:06:00 AM,27.67,86.18,4.2,Dolakha
5/24/15 10:38:00 AM,27.76,86.28,4.4,Dolakha
5/24/15 11:46:00 AM,27.84,86,4.2,Sindhupalchowk
5/24/15 12:55:00 PM,27.8,86.29,4.4,Dolakha
5/24/15 11:15:00 PM,27.76,86.26,4.3,Dolakha
5/25/15 3:23:00 AM,28.01,84.68,5,Gorkha
5/25/15 11:00:00 AM,27.71,86.07,4.1,Dolakha
5/25/15 10:16:00 PM,27.74,86.19,4.4,Dolakha
5/26/15 2:11:00 PM,27.84,86.24,4.3,Dolakha
5/26/15 5:48:00 PM,27.63,86.3,4.1,Dolakha
5/26/15 6:39:00 PM,27.71,86.05,4.1,Dolakha
5/26/15 8:00:00 PM,27.54,85.43,4.3,Lalitpur
5/26/15 10:52:00 PM,28.02,85.26,5,Rasuwa
5/27/15 12:03:00 PM,27.59,86.2,4.2,Dolakha
5/27/15 1:15:00 PM,27.91,85.53,4.5,Sindhupalchowk
5/27/15 1:16:00 PM,27.89,85.53,4.6,Sindhupalchowk
5/27/15 10:29:00 PM,28.04,85.13,4.2,Nuwakot
5/28/15 3:07:00 AM,27.99,84.79,4,Dhading
5/28/15 3:40:00 AM,27.95,84.8,4,Dhading
5/28/15 5:12:00 AM,27.64,85.31,4,Kathmandu
5/28/15 5:29:00 AM,27.77,86.25,4.2,Dolakha
5/28/15 11:36:00 AM,27.59,86.19,4.2,Dolakha
5/28/15 12:14:00 PM,27.59,86.16,4.1,Dolakha
5/28/15 10:16:00 PM,27.94,85.54,4,Sindhupalchowk
5/29/15 12:37:00 AM,27.82,86.34,4.2,Dolakha
5/29/15 5:20:00 AM,28.07,84.94,4.2,Dhading
5/29/15 8:30:00 AM,28.17,84.72,4,Gorkha
5/29/15 12:30:00 PM,28.01,84.84,4.8,Dhading
5/29/15 3:44:00 PM,28,84.98,5.2,Dhading
5/30/15 1:52:00 AM,27.75,85.21,4,Dhading
5/30/15 8:35:00 PM,28.01,85.19,4,Rasuwa
5/30/15 10:13:00 PM,27.79,85.17,4.5,Nuwakot
5/31/15 1:54:00 PM,28.29,84.46,4.2,Lamjung
6/1/15 4:35:00 AM,27.98,85.51,4,Sindhupalchowk
6/2/15 10:48:00 AM,27.78,86.2,4,Dolakha
6/3/15 2:45:00 AM,27.84,85.78,4.1,Sindhupalchowk
6/3/15 1:37:00 PM,27.79,85.87,4.5,Sindhupalchowk
6/3/15 2:39:00 PM,27.76,86.07,4.2,Dolakha
6/3/15 5:38:00 PM,27.7,86.26,4.5,Dolakha
6/4/15 4:15:00 PM,27.76,86.2,4,Dolakha
6/5/15 10:02:00 AM,27.79,85.78,4.1,Sindhupalchowk
6/5/15 2:16:00 PM,27.7,85.22,4,Kathmandu
6/6/15 2:33:00 AM,28.26,85.86,4.2,Tibet
6/6/15 10:45:00 PM,27.58,86.18,4,Dolakha
6/7/15 11:02:00 AM,27.9,85.64,4.6,Sindhupalchowk
6/7/15 10:35:00 PM,27.87,86.13,4.1,Dolakha
6/10/15 2:50:00 AM,27.87,85.81,4.1,Sindhupalchowk
6/10/15 1:36:00 PM,27.8,85.61,4.3,Sindhupalchowk
6/10/15 2:51:00 PM,27.62,86.1,4.2,Dolakha
6/11/15 12:26:00 AM,27.67,86.07,4,Dolakha
6/11/15 10:02:00 AM,27.8,85.78,4.6,Sindhupalchowk
6/11/15 9:57:00 PM,27.96,85.73,5.3,Sindhupalchowk
6/12/15 1:22:00 AM,28.21,84.81,4.6,Gorkha
6/12/15 10:19:00 AM,27.67,86.09,4.4,Dolakha
6/13/15 7:03:00 AM,27.73,86.16,5.2,Dolakha
6/14/15 5:59:00 AM,27.8,85.15,4.2,Nuwakot
6/14/15 3:01:00 PM,27.74,86.26,4.1,Dolakha
6/15/15 3:52:00 PM,27.87,85.72,4.1,Sindhupalchowk
6/16/15 9:56:00 PM,27.7,86.16,4.1,Dolakha
6/17/15 5:58:00 AM,27.68,85.28,4.4,Kathmandu
6/17/15 6:14:00 AM,27.91,85.59,5.2,Sindhupalchok
6/17/15 6:26:00 AM,27.9,85.58,4,Sindhupalchok
6/17/15 8:00:00 AM,28.27,85.94,5.1,Tibet
6/18/15 8:24:00 AM,28.14,85.11,4.1,Dhading
6/19/15 1:50:00 PM,28.26,84.92,4,Gorkha
6/20/15 2:40:00 AM,28.17,84.94,4.2,Gorkha
6/21/15 7:26:00 PM,27.8,86,4.3,Sindupalchok
6/22/15 1:19:00 PM,27.67,86.17,4,Dolakha
